#peak_num	name	confidence
2037	2H-Pyran-2-one, 6-heptyltetrahydro-	1
1203	Nonanoic acid, 3,5-difluophenyl ester	0
600	Imidazole-2-carboxylic acid, 4-methyl-	0
2829	Di(E)-but-2-enyl phthalate	1
3770	Diisooctyl phthalate	0
1905	2,4-Octadienal, (E,E)-	1
1798	Furan, 4-methyl-2-propyl-	0
750	Decanal	1
2424	Tonalid	2
1561	Apocynin	2
1933	Benzoic acid, 2,4-dihydroxy-6-methyl-, methyl ester	2
876	Ethanone, 1-(3-methyloxiranyl)-	1
2760	Eicosane, 2-methyl-	1
3586	Benzo[b]naphtho[2,3-d]thiophene	2
2528	Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-	2
968	2-Piperidinone, N-[4-bromo-n-butyl]-	0
2378	Phenanthridine	1
507	Hexanoic acid, 2-ethyl-	1
2475	Theobromine	2
679	1,2-Benzenediol, O-isobutoxycarbonyl-	1
2117	Phenol, 2,5-bis(1-methylethyl)-	0
3093	Octadecanoic acid, ethyl ester	1
1987	5-Azabenzimidazole	2
3730	Benzene, (1-azido-1-methylethyl)-	0
477	1H,1H,2H,2H-Perfluorodecan-1-ol	0
885	Cyclohexanecarboxylic acid, 4-methylpentyl ester	0
1176	Phenol, 2,6-dimethoxy-	2
59	Hexanoic acid	1
1997	3-Hexyne, 2,2-dimethyl-1-dimethylamino-	1
1315	5-Ethylhydantoin	0
1060	5H-1-Pyrindine	2
244	2H-Benzo[f]oxireno[2,3-E]benzofuran-8(9H)-one, 9-[(hexahydro-1H-azepin-1-yl)methyl]octahydro-2,5a-dimethyl-	0
2736	5á-Podocarpa-8,11,13-trien-16-oic acid, methyl ester	0
2489	4-Methylnaphtho[1,2-b]thiophene	2
717	Cyclobutanecarboxylic acid, 2-pentadecyl ester	0
3641	Phthalic acid, 2-chloropropyl hexyl ester	1
1212	Azetidine, 1,3-dimethyl-	0
1501	2,2,2-Trichloro-1-(4-ethoxyphenyl)ethyl n-butylcarbamate	0
516	4(1H)-Pyrimidinone, 2-methyl-	0
2100	o-Anisic acid, tridec-2-ynyl ester	1
1795	2H-Indeno[1,2-b]furan-2-one, 3,3a,4,5,6,7,8,8b-octahydro-8,8-dimethyl	1
2695	Chlorpyrifos	2
3202	Phthalic acid, hex-3-yl isohexyl ester	1
1267	1,2,3,4,5-Cyclopentanepentol	1
213	Oxazolidine, 2-ethyl-4,4-dimethyl-	0
208	1,5-Diazocine, octahydro-1,5-dinitroso-	0
2656	3-Ethyldibenzothiophene	0
1463	8-Benzoyloctanoic acid	0
1256	Decanoic acid, ethyl ester	1
4022	Phenol, 2-(5-chloro-2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylethyl)-	2
2728	1(2H)-Naphthalenone, 3,4-dihydro-4-phenyl-	2
1408	3-Pyridinecarboxamide, N-methyl-	2
818	Ethanol, 2-phenoxy-	2
3466	Benzoimidazol-2-one, 1-adamantan-1-yl-1,3-dihydro-	0
4237	Benzo[k]fluoranthene	2
1301	Perfluoro-1,3-dimethylcyclohexane	0
1396	Myristoleic acid	0
469	2,5-Pyrrolidinedione, 1-methyl-	1
1916	2,5-Dimethoxythiophenol	0
1394	2-Propanone, 1,1-diethoxy-	1
2634	3H-Imidazo(4,5-f)quinoline, 3-methyl-	0
1686	Dodecanoic acid	1
2203	13,16-Octadecadienoic acid, methyl ester	1
4528	17.alfa.,21á-28,30-Bisnorhopane	1
3787	Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, (3-phenoxyphenyl)methyl ester, (1R-cis)-	2
1977	2(3H)-Benzothiazolone	2
1524	Pyridine, 3-phenyl-	0
436	1,2,4-Triazin-3-amine, 5,6-dimethyl-	1
1550	Benzoic acid, p-tert-butyl-	2
1288	Hydrocoumarin	2
619	3H-Indazol-3-one, 1,2,4,5,6,7-hexahydro-	1
1526	2H-Indol-2-one, 1,3-dihydro-	2
1404	Benzene, 1-ethoxymethyl-4-tert-butyl-	1
952	5-(3-Ethoxy-4,5-dihydro-isoxazol-5-yl)-5-methyl-imidazolidine-2,4-dione	0
308	Allyl n-octyl ether	1
1027	4-tert-Butylcyclohexyl acetate	2
