Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
285,"1,2,3,4-Tridecanetetrol, [2R-(2R*,3S*,4S*)]-",248,653,668.892,1.412,57150
329,"2(3H)-Furanone, 5-methyl-",98,878,728.358,1.881,193743
594,Benzonitrile,103,968,1060.67,2.112,37018
634,"Cyclohexane, isocyanato-",125,927,1092.15,1.683,267139
734,"Propanoic acid, 2-acetylhydrazono-",144,832,1176.1,2.046,45751
1182,"Benzaldehyde, 4-ethyl-",134,889,1637.84,2.033,199381
1201,"Ethanone, 1-(4-methylphenyl)-",134,960,1655.33,2.086,155690
1236,Benzylidenemalonaldehyde,160,883,1697.3,2.158,40335
1306,Benzothiazole,135,957,1774.26,2.508,229578
1466,"Ethanone, 1-(3,4-dimethylphenyl)-",148,750,1928.17,2.066,83155
1617,Phthalic anhydride,148,883,2026.12,2.607,62590
2208,Dibenzofuran,168,709,2526.33,2.369,22433
233,"Butane, 2,3-dimethyl-2-nitro-",131,678,623.418,1.412,79773
240,Maleic anhydride,98,799,630.414,1.775,102354
255,trans-2-Methyl-4-hexen-3-ol,114,729,644.406,1.432,46379
296,"6-Methyl-3,5-heptadiene-2-one",124,865,682.884,1.353,25080
303,Maleic anhydride,98,936,689.88,2.204,55363
308,"3-Pentenal, 4-methyl-",98,870,696.876,1.927,75352
356,"4-Cyclopentene-1,3-dione",96,850,770.334,2.059,34002
407,"Ethanone, 1-(2-furanyl)-",110,926,843.792,1.927,74668
433,2-Acetyl-1-pyrroline,111,723,871.776,1.789,19178
439,"2-Cyclopenten-1-one, 2-hydroxy-",98,914,878.772,2,9177.8
503,"3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-",198,851,948.732,1.973,34597
526,"Carbamoyl chloride, phenyl-",155,824,976.716,1.703,9295.3
552,"2-Cyclopenten-1-one, 3-methyl-",96,871,1004.7,2.105,38697
562,2-Acetyl-5-methylfuran,124,826,1022.19,1.874,14704
569,"2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one",144,936,1036.18,1.683,22533
574,7-Oxabicyclo[2.2.1]hept-5-en-2-one,110,649,1039.68,1.993,91722
577,"2(5H)-Furanone, 3-methyl-",98,903,1043.18,2.422,26980
579,p-Nitrophenyl hexanoate,237,792,1046.68,1.544,6974.3
588,"3-Heptanone, 5-methyl-",128,760,1053.67,1.551,51556
599,3-Methyl-3-cyclohexen-1-one,110,828,1064.17,1.901,139966
600,"2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-",128,725,1064.17,2.132,59378
630,"Cyclopentanone, 2,4,4-trimethyl-",126,849,1088.65,1.815,62062
