Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
241,"Pyridine, 2-methyl-",93,880,633.912,1.531,27230
392,"2-Cyclopenten-1-one, 2-methyl-",96,920,829.8,1.921,31250
417,"Pyrazine, ethyl-",108,853,854.286,1.789,47318
430,"Pyrazine, 2,3-dimethyl-",108,797,868.278,1.802,69981
471,"2-Cyclopenten-1-one, 3,4-dimethyl-",110,874,917.25,1.828,29638
482,"2(5H)-Furanone, 5-methyl-",98,856,927.744,2.33,23971
493,"Imidazole, 5-hydrazinocarbonyl-",126,725,941.736,1.828,26389
509,"Cyclohexanone, 3-methyl-, (R)-",112,925,955.728,1.835,37226
558,Dimethyl trisulfide,126,809,1015.19,1.993,9178.3
604,Cyclobutanemethanol,86,800,1067.66,1.624,16809
625,"4,4-Dimethyl-2-cyclopenten-1-one",110,893,1085.15,1.967,79328
646,"2-Methyliminoperhydro-1,3-oxazine",114,853,1102.64,2.204,60590
654,"4-Hexen-2-one, 3-methyl-",112,874,1109.64,2.198,62978
681,"2(5H)-Furanone, 3,5,5-trimethyl-",126,857,1137.62,2.02,29018
697,"1,7-Nonadien-4-ol, 4,8-dimethyl-",168,554,1148.12,2.02,10083
706,"Ethane, diazo-",56,999,1155.11,2.99,97984
732,"2-Cyclopenten-1-one, 3,4-dimethyl-",110,770,1172.6,2.039,48019
771,"Butanoic acid, 4-hydroxy-2-methylene-",116,834,1218.08,1.993,30485
772,"2H-Pyran-2-one, 5,6-dihydro-",98,903,1218.08,2.105,24714
813,"2-Octenal, (E)-",126,697,1274.05,1.637,8910.1
835,"2-Cyclopenten-1-one, 2,3,4-trimethyl-",124,792,1291.54,1.907,46057
922,"2-ethoxy-3,5-hexadiene",126,762,1368.49,2.152,30626
923,4-Pyridinol-1-oxide,111,675,1368.49,2.31,5884.8
932,"3,5-Heptadien-2-one, 6-methyl-, (E)-",124,814,1375.49,1.973,26967
952,"4-Hepten-3-one, 4-methyl-",126,889,1392.98,2.165,56507
960,"2(5H)-Furanone, 3,5,5-trimethyl-",126,757,1406.97,2.264,19652
970,"2-Cyclohexen-1-one, 3,5-dimethyl-",124,899,1417.46,2.013,27325
993,4-Acetyl-1-methylcyclohexene,138,593,1438.45,1.69,17127
1000,"2,3-Dimethyl-4-hydroxy-2-butenoic lactone",112,928,1445.45,2.468,18384
1017,"2,4,4,6,6,8,8-Heptamethyl-1-nonene",224,736,1462.94,2.02,18036
1022,"4,6-Dimethyl-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazine",141,815,1466.44,2.171,55871
1077,"2-Hepten-4-one, 2-methyl-",126,815,1536.4,2.29,103108
1091,"Phenol, 2,4-dimethyl-",122,860,1553.89,1.947,48553
1114,Allyl nonanoate,198,631,1578.37,1.888,2177.3
1119,"5-Hepten-2-one, 5,6-dimethyl-",140,762,1585.37,1.835,31044
1120,"Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-",152,838,1585.37,1.861,64505
1152,"4-Hepten-3-one, 4-methyl-",126,908,1606.36,2.369,39457
1226,"3,4-Methylpropylsuccinimide",155,868,1683.31,2.33,35741
1247,"1,1'-Bicyclopropyl, 2,2,2',2'-tetramethyl-",138,760,1711.3,1.921,24742
1301,"Cyclohexanone, 4-(1,1-dimethylpropyl)-",168,689,1770.76,2.211,13538
1312,"Phenol, 2-(1-methylethyl)-",136,773,1777.76,1.947,26972
1346,Quinoline,129,856,1812.74,2.416,53438
1389,"Formamide, N-cyclohexyl-",127,928,1861.71,2.429,51706
1470,"1H-Inden-1-one, 2,3-dihydro-",132,880,1928.17,2.508,25455
1512,"Acetamide, N-cyclohexyl-",141,734,1959.65,2.224,39740
1584,"1,2,4-Trimethoxybenzene",168,746,2005.13,2.27,24033
1638,"2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-",170,857,2043.61,2.515,22842
1662,"(+-)-3-hydroxybutyric acid, acetate",146,885,2064.59,1.94,819018
1717,"Myrtenoic acid, ethyl ester",194,724,2103.07,1.973,24966
1733,"Phenol, 2,6-dimethoxy-",154,821,2113.57,2.402,64550
1750,Methyl 3-(2-hydroxyphenyl)propionate,180,688,2131.06,2.442,6046.5
1759,3-(1-Hydroxy-ethyl)-3H-benzofuran-2-one,178,548,2138.05,2.171,7261.4
1808,"Oxazolidine, 2,2-diethyl-3-methyl-",143,830,2173.03,2.561,50149
