Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
331,"2(3H)-Furanone, 5-methyl-",98,888,724.86,1.894,128357
779,"1,2-Dimethyl cyclopropene",68,780,1424.46,2.099,37895
886,Benzoic acid,122,940,1599.36,1.987,312564
1197,"2-Butanone, 3-chloro-",106,608,2127.56,1.736,30157
223,Crotonic acid,86,884,602.43,1.478,26620
257,"Dichloroacetic acid, 2-tetrahydrofurylmethyl ester",212,881,640.908,1.439,14143
309,Maleic anhydride,98,839,689.88,2.211,17380
315,"2,3-Dihydrooxazole, 2-t-butyl-4-(1-hydroxy-1-methylethyl)-3-methoxycarbonyl-5-methyl-",98,891,696.876,1.934,6799.9
425,"Propanedioic acid, dimethyl ester",132,871,882.27,1.947,8957.3
458,Trifluoroamine oxide,87,999,934.74,2.237,35108
468,"3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-",198,838,945.234,1.987,16004
512,7-Oxabicyclo[2.2.1]hept-5-en-2-one,110,756,1039.68,1.993,34880
520,3-Octanone,128,846,1053.67,1.551,50571
530,3-Methyl-3-cyclohexen-1-one,110,852,1060.67,1.914,21377
547,"2H-Pyran-2,3-diol, tetrahydro-, diacetate, trans-",202,808,1078.16,1.96,114069
553,"2-Hepten-4-one, 2-methyl-",126,756,1085.15,1.828,13207
586,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",136,837,1144.62,1.478,41729
602,"4(1H)-Pyrimidinone, 5-hydroxy-2-methyl-",126,683,1165.61,1.96,21361
622,"2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-",142,741,1186.6,1.894,19624
640,"Ethanone, 1-(2-methyl-1-cyclopenten-1-yl)-",124,703,1211.08,2.039,7801.5
647,"2-Cyclopenten-1-one, 2,3-dimethyl-",110,887,1221.58,2.059,22715
649,"2,5-Furandione, 3,4-dimethyl-",126,682,1225.07,2.211,50578
653,"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-",144,833,1235.57,2.099,18318
654,"2,4,6-Cycloheptatrien-1-one, 4-methyl-",120,865,1235.57,2.132,54479
659,4-Methyl-5H-furan-2-one,98,951,1246.06,2.62,9980
663,"2-Heptanone, 6-methyl-",128,723,1253.06,2.105,12203
669,4-Propionyloxytridecane,256,721,1263.55,1.954,9453.3
677,"4-Carene, (1S,3R,6R)-(-)-",136,809,1274.05,1.538,39619
678,"2-Cyclohexen-1-one, 3-methyl-",110,855,1274.05,2.158,77209
680,"2,5-Dimethyl-4-hydroxy-3(2H)-furanone",128,925,1277.54,1.973,106693
682,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-",138,867,1281.04,1.789,10004
706,"3,7-Dimethyloctyl ethylphosphonofluoridoate",252,654,1312.52,2.178,8683.5
709,"2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-",170,780,1316.02,1.597,11329
711,"Pentanoic acid, 2-methyl-, anhydride",214,805,1319.52,1.967,90845
728,"1,2,4-Triazin-3-amine, 5,6-dimethyl-",124,724,1351,2.218,13791
741,"Bicyclo[2.2.1]heptan-2-one, 1,3,3-trimethyl-",152,836,1368.49,1.775,58588
753,"Cyclopropanemethanol, à-butyl-",128,821,1378.99,1.69,26843
776,"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",168,860,1420.96,1.769,24106
778,"3,3,7-Trimethyl-4-oxa-7-octen-1-ol",172,679,1424.46,2.079,14410
783,"Cyclohexanol, 2,6-dimethyl-",128,781,1431.46,1.835,8121.9
827,"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",138,911,1518.91,2.066,74522
838,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",152,923,1532.9,2.072,229445
852,"2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-",154,756,1553.89,1.775,37162
854,"Pyrollidine, 2,5-bis(imino)-",97,645,1553.89,2.224,15776
879,"2-Furanethanol, à-methyl-, acetate",168,712,1592.36,1.94,16533
888,"3-Undecene, (E)-",154,642,1602.86,2.171,43254
900,"Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-",150,837,1620.35,1.907,32444
912,Benzylidenemalonaldehyde,160,858,1644.83,2.132,125406
