Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
98,"Furan, tetrahydro-2,2,5,5-tetramethyl-",128,701,483.498,1.115,23239
368,Crotonic acid,86,936,605.928,1.478,47065
385,7-Oxabicyclo[2.2.1]heptane,98,565,626.916,1.789,9057.5
438,Maleic anhydride,98,926,689.88,2.211,31457
444,"3-Pentenal, 4-methyl-",98,819,696.876,1.934,7982.1
462,"2(3H)-Furanone, 5-methyl-",98,907,724.86,1.894,51508
524,"2-Cyclopenten-1-one, 2-methyl-",96,892,829.8,1.934,12453
580,Analyte 349,,,892.764,1.742,773358
660,"2-Cyclopenten-1-one, 3-methyl-",96,815,1004.7,2.112,7799.2
673,"Oxirane, 2-(1,1-dimethylethyl)-3-methyl-",114,915,1029.19,1.604,9967.2
688,3-Octanone,128,883,1053.67,1.551,38081
699,1-Cyclopentene-1-carboxylic acid,112,675,1060.67,1.914,12868
707,"tert-Butyl 2-chloro-3-(4-chloro-2-vinyl-1,3-oxazol-5-yl)-1H-indol-1-carboxylate",378,889,1067.66,1.637,14133
715,"Acetaldehyde, propylhydrazone",100,749,1078.16,1.954,138139
720,"Cyclopropane, 1,1,2,2-tetramethyl-",98,822,1088.65,1.815,10507
728,"4-Hexen-2-one, 3-methyl-",112,899,1109.64,2.211,6150.7
747,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",136,826,1144.62,1.478,19049
766,3-Acetylthymine,168,714,1169.11,1.947,14057
784,"Cyclopropane, 1,1,2,2-tetramethyl-",98,795,1186.6,1.894,17818
816,"2-Cyclopenten-1-one, 3,5,5-trimethyl-",124,701,1211.08,2.046,4602.1
817,"2H-Pyran-2-one, 5,6-dihydro-",98,915,1214.58,2.112,13048
820,"2(5H)-Furanone, 5-ethyl-",112,870,1218.08,2.33,14363
825,"2-Cyclopenten-1-one, 2,3-dimethyl-",110,858,1221.58,2.066,24968
828,"1,2-Dioxolan-3-one, 5-methyl-4-methylene-",114,720,1225.07,2.204,50529
833,Benzeneacetaldehyde,120,886,1235.57,2.132,56704
838,3-Amino-5-pyrazolol,99,750,1239.07,2.092,26201
859,"4-Carene, (1S,3R,6R)-(-)-",136,792,1274.05,1.538,15436
862,"2-Cyclohexen-1-one, 3-methyl-",110,944,1274.05,2.152,57651
865,"2,5-Dimethyl-4-hydroxy-3(2H)-furanone",128,959,1277.54,1.973,198101
869,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-",138,806,1281.04,1.795,12180
870,"2,4,6-Trimethyl-1,6-heptadien-4-ol",154,683,1284.54,1.921,14098
893,"Benzaldehyde, 2-methyl-",120,905,1312.52,2.033,21908
895,cis-Linaloloxide,170,869,1316.02,1.584,25473
898,"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-, methyl ester",158,917,1319.52,1.973,68982
919,"1,2,4-Triazin-3-amine, 5,6-dimethyl-",124,733,1351,2.211,6926.8
929,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",136,857,1364.99,1.577,3494
930,"2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-",170,906,1364.99,1.63,62216
938,5-Hydroxypyrimidine,96,654,1371.99,1.822,10620
940,"Phenol, 2-methoxy-",124,914,1375.49,2.072,10170
942,"4-Nonenal, (E)-",140,879,1378.99,1.617,14477
943,"Furan, 2-butyltetrahydro-",128,929,1378.99,1.69,10551
944,"Benzene, 1-ethenyl-4-ethyl-",132,870,1378.99,1.736,4854.9
963,"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",168,796,1420.96,1.769,33662
966,"4-Oxepincarboxylic acid, 2,3,6,7-tetrahydro-, ethyl ester",170,704,1427.96,2.092,14861
968,1-Methylcycloheptanol,128,719,1431.46,1.815,11796
989,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-",138,882,1469.93,1.927,21973
1011,"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",138,912,1518.91,2.066,92279
1019,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",152,927,1532.9,2.066,274604
1030,"2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-",154,741,1553.89,1.775,42930
1031,"5-Methyl-N-nitro-1H-1,2,4-triazol-3-amine",143,629,1553.89,2.231,45910
1044,"Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-",138,922,1578.37,2,49295
1056,Pinocarvone,150,766,1592.36,1.947,18911
1065,"1,4-Cyclohexanedione, 2,2,6-trimethyl-",154,885,1602.86,2.178,41717
1077,"Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-",150,881,1620.35,1.914,28358
1078,"Ethanone, 1-(3-methylphenyl)-",134,873,1620.35,2.086,7206.7
1086,"Benzaldehyde, 4-ethyl-",134,925,1634.34,2.039,355083
1087,"1-Hexanol, 2-ethyl-",130,908,1637.84,1.181,67238
1090,Terpinen-4-ol,154,802,1637.84,1.709,114459
1100,Lilac aldehyde B,168,747,1648.33,2.006,66766
1101,1H-Indenol,132,841,1648.33,2.125,106522
1119,à-Terpineol,154,867,1683.31,1.729,97068
1129,Benzylidenemalonaldehyde,160,904,1697.3,2.165,84695
1131,"3-Hexyne, 2-methyl-",96,771,1700.8,2,19655
1148,"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-",150,931,1728.79,2.046,23518
1156,"2-Oxabicyclo[2.2.2]octan-6-one, 1,3,3-trimethyl-",168,877,1739.28,2.039,145722
1184,"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",139,783,1791.75,2.152,38186
1217,"(1S,2S,3R,5S)-(+)-Pinanediol",170,778,1844.22,2.066,12461
1236,4-Ethylbenzoyl chloride,168,885,1875.7,2.053,131135
1255,"Cyclohexene, 6-(2-butenyl)-1,5,5-trimethyl-, (E)-",178,674,1896.69,2.099,10162
1274,"1,4-dihydroxy-p-menth-2-ene",170,921,1928.17,1.894,200219
1305,"2-Hexanone, 6-bromo-",178,871,1970.15,2.35,4710.7
1311,(+)-Borneol,154,758,1980.64,1.993,23194
1339,"3-Heptene, 4-ethyl-",126,775,2019.12,2.178,26422
1348,1-Methylcycloheptanol,128,651,2029.61,2.178,8602.1
1349,"Bicyclo[4.2.0]octa-1,3,5-triene-7,8-dione",132,817,2029.61,2.6,30700
1354,Analyte 1067,,,2040.11,0.845,12007
1355,"3H-Naphth[1,8a-b]oxiren-2(1aH)-one, hexahydro-",166,749,2040.11,2.251,42190
1374,3-(1-Phenyl-ethoxy)-3H-isobenzofuran-1-one,254,780,2075.09,2.482,274909
1383,"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-, (1S)-",136,879,2096.08,1.729,18190
1391,3-Pyrrolidinopropionitrile,124,720,2124.06,2.053,451052
1395,Eugenol,164,831,2131.06,2.066,17608
1400,1-(2-Vinylphenyl)propan-1-one,160,694,2138.05,2.158,7041.1
1403,8-Hydroxycarvotanacetone,168,713,2148.55,2.125,23307
1404,"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2R-cis)-",154,693,2148.55,2.264,6969.1
1411,3-Decen-5-one,154,844,2173.03,1.828,5712
1420,"Indan, epoxide",132,776,2201.02,2.488,5165.3
1426,"Tricyclo[6.3.0.0(2,7)]undecane-1,3,7-triol",226,750,2218.51,2.191,45477
1436,Methyleugenol,178,871,2239.49,2.105,198051
1464,"Ethanone, 1,1'-(1,3-phenylene)bis-",162,939,2323.45,2.475,34308
1482,"Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester",216,655,2365.42,1.478,5442.1
1484,"Ethanone, 1,1'-(1,4-phenylene)bis-",162,886,2368.92,2.429,13410
1501,"2-Propen-1-ol, 3-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",180,610,2417.89,1.69,8681.8
1527,"1,3-Cyclopentanedione, 2,2-dimethyl-",126,763,2484.35,2.013,6246.5
1559,"1,7-Dioxaspiro[5.5]undec-2-ene",154,738,2557.81,2.534,44240
1562,"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",180,742,2568.31,2.468,10860
1580,"Benzene, 1,2,3-trimethoxy-5-(2-propenyl)-",208,743,2603.29,2.198,6059.6
1607,"Fumaric acid, ethyl 2,4,5-trichlorophenyl ester",322,910,2652.26,2.119,33295
1633,"Furan, 2-(1,1-dimethylethyl)-4-methyl-",138,677,2701.23,2.138,19953
1635,"1,3-Benzenediol, O-(2-furoyl)-O'-propargyloxycarbonyl-",286,833,2708.23,2.284,16832
1637,Dihydrojasmone,166,755,2722.22,2.845,10900
1661,"2-Buten-1-one, 1-(2,2,5a-trimethylperhydro-1-benzoxiren-1-yl)",208,699,2788.68,2.284,27310
1698,"1,3-Cyclopentadiene, 5-(1-methylpentylidene)-",148,780,2900.62,2.257,21227
1720,"Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-, methyl ester",196,830,2967.08,2.343,33500
1747,"Carbamic acid, N-[1,1-bis(trifluoromethyl)ethyl]-, 4-(1,1,3,3-tetramethylbutyl)phenyl ester",413,775,3061.52,1.96,11714
1774,"2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-",222,898,3124.49,2.554,31507
1790,Pentadecanoic acid,242,839,3166.46,1.617,16330
1797,"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",296,853,3190.95,1.419,10915
1852,"Hexadecenoic acid, Z-11-",254,920,3407.83,1.861,120724
1925,Cyclic octaatomic sulfur,256,748,3600.22,2.904,41113
1938,"3-Trifluoromethyl-à,à,à-trifluoroacetophenone",242,770,3631.7,1.604,11843
2080,"4,8,12,16-Tetramethylheptadecan-4-olide",324,870,3859.07,1.274,7827.5
2584,Octadecanal,268,886,4121.42,1.307,94049
2678,BOSCALID,342,803,4159.9,2.409,37774
2891,Octadecanal,268,932,4257.84,1.478,38361
