#peak_num	name	confidence	molecular_ion
22	Hexane, 2,3,4-trimethyl-	0	128
26	3,4,5,6-Tetrahydrophthalic anhydride	0	152
35	2-Butanone, 3,3-dimethyl-	0	100
44	5-Hexen-2-one, 5-methyl-	0	112
53	Benzene, 1-ethyl-2-methyl-	2	120
59	Hexanoic acid	0	116
80	3-Hexene, 2,2-dimethyl-	0	112
83	3-Amino-2-oxazolidinone	0	102
115	Phenol	2	94
126	2(5H)-Furanone, 3-methyl-	2	98
129	Furan, 2-pentyl-	2	138
140	1-Hexene, 1-butoxy-2-ethyl-	0	184
177	2-Propen-1-ol	0	58
181	1H,1H,2H,2H-Perfluorodecan-1-ol	0	464
188	3-Pentanol, 2-methyl-	0	144
197	2-Furanone, 2,5-dihydro-3,5-dimethyl	2	112
208	1,5-Diazocine, octahydro-1,5-dinitroso-	0	172
213	Oxazolidine, 2-ethyl-4,4-dimethyl-	0	129
234	3-Ethenyl-3-methylcyclopentanone	0	124
242	Benzyl chloride	0	126
244	2H-Benzo[f]oxireno[2,3-E]benzofuran-8(9H)-one, 9-[(hexahydro-1H-azepin-1-yl)methyl]octahydro-2,5a-dimethyl-	0	347
252	4(H)-Pyridine, N-acetyl-	2	123
262	Acethydrazide, N2-(1,2-dimethylpropylideno)-	0	128
265	Glycerin	0	92
277	2-Cyclopenten-1-one, 2-hydroxy-3-methyl-	2	112
291	2-Cyclopenten-1-one, 3-methoxy-4-methyl-	0	126
297	1-Propanol, 2,2'-oxybis-	2	134
298	2-Acetyl-5-methylfuran	2	124
308	Allyl n-octyl ether	0	170
309	N-(N-Glycylglycyl)glycine	0	189
313	1-Propanol, 2,2'-oxybis-	0	134
319	2(3H)-Furanone, 5-ethenyldihydro-5-methyl-	0	126
322	2,2-Dimethyl-3-heptanone	0	142
331	Benzeneacetaldehyde	2	120
335	4-t-Butylurazole	0	157
341	2-Pyrrolidinone, 1-methyl-	0	99
348	Benzene, 1-ethynyl-4-methyl-	2	116
357	2,5-Dimethyl-4-hydroxy-3(2H)-furanone	2	128
360	6,7-Dodecanedione	0	198
362	2-Cyclopenten-1-one, 3-ethyl-2-hydroxy-	2	126
374	3-Acetyl-1H-pyrroline	2	109
375	3-Methyl-isoxazol-5(4H)-one	2	99
380	2,N-Dibenzoyl-6-hexanelactam	0	321
393	6-Amino-hex-2-en-1-ol	0	115
394	1,2-Butanediol	0	90
397	p-Cresol	2	108
400	3,3,3-Trifluoro-N-(4-fluorophenyl)-2-(trifluoromethyl)propionamide	0	289
411	Cyclohexane, ethyl-	2	112
412	4-Aminopyrimidine	2	95
429	3-Methyl-1-nitrobut-2-ene	0	115
432	2-Pyrrolidinone	2	85
436	1,2,4-Triazin-3-amine, 5,6-dimethyl-	2	124
439	2-Hexanone, 5-methyl-	0	114
443	4-Hexen-2-one, 3-methyl-	2	112
451	Furyl hydroxymethyl ketone	2	126
457	4-Nonenal, (E)-	0	140
459	1-Butanamine, N-ethyl-	0	101
465	Allyl 2-ethyl butyrate	0	156
467	Phenol, 2-methoxy-	2	124
469	2,5-Pyrrolidinedione, 1-methyl-	2	113
477	1H,1H,2H,2H-Perfluorodecan-1-ol	0	464
483	Cyclohexanone, 2-isopropyl-2,5-dimethyl-	0	168
489	1H-Imidazole, 4-methyl-	0	82
492	Trifluoroacetyl-di-t-butylphosphine	0	242
498	1-Hexene, 3,4,5-trimethyl-	0	126
503	2-Cyclohexen-1-one, 4,5-dimethyl-	0	124
505	Pyridine, 2,3,4,5-tetrahydro-	0	83
507	Hexanoic acid, 2-ethyl-	0	144
