#peak_num	name	molecular ion
256	2-Butene, 1-bromo-3-methyl-	148
263	Maleic anhydride	98
299	4-Benzyloxy-3-(1-methoxyethoxy)-butan-2-ol	254
332	Maleic anhydride	98
581	Pentane, 2-chloro-4-methyl-	120
619	Furan	68
627	3-Octanone	128
638	Cyclopentene, 3-propyl-	110
652	1-Penten-3-one, 2,4-dimethyl-	112
656	2-Pyrazoline, 1-methyl-4-propyl-	126
662	Methanamine, N-heptylidene-	127
696	2-Bromononane	206
737	1-Butene, 2,3,3-trimethyl-	98
753	Cyclohexanone, 2,2,6-trimethyl-	140
757	2-Acetyl-5-methylfuran	124
759	2H-Pyran-2-one, 5,6-dihydro-	98
767	3-Cyclohexen-1-one, 3,5,5-trimethyl-	138
774	4-Oxopentanethioic acid	132
775	Benzeneacetaldehyde	120
798	1-Ethyl-2-methylcyclohexanol	142
804	Phenol, 3-methyl-	108
811	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	138
835	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	170
844	2-Azabicyclo[2.2.1]heptane	115
847	3-Heptanone, 5-ethyl-4-methyl-	156
854	1,2,4-Triazin-3-amine, 5,6-dimethyl-	124
867	cis-Linaloloxide	170
875	Phenol, 2-methoxy-	124
907	3-Methyl-3-cyclohexen-1-one	110
911	dl-2,6-Diamino-4-hexynoic acid	142
915	9-Oxabicyclo[3.3.1]nonan-2-one, 6-hydroxy-	156
924	Bicyclo[8.2.0]dodecane, 11,11-dimethyl-	194
925	2,3-Dimethyl-4-hydroxy-2-butenoic lactone	112
947	Cyclopentanone, 2,2,4-trimethyl-	126
959	2-Pyrazoline, 3-ethyl-1-isopropyl-	140
973	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	138
984	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	152
986	Benzene, 1,2-dimethoxy-	138
993	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	154
995	Phenol, 2,5-dimethyl-	122
1004	2-Pentanol, 3-chloro-2-methyl-	136
1035	2-Methyl-2-decanol	172
1036	1,4-Cyclohexanedione, 2,2,6-trimethyl-	154
1052	Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-	150
1066	ñ-á,á-Dimethyl-ç-(hydroxy-methyl)-ç-butyrolactone	144
1073	Lilac aldehyde A	168
1078	3,5-Hexadien-2-ol, 2-methyl-	112
1092	2-Cyclohexen-1-one, 4-(1-methylethyl)-	138
1103	2-Methoxy-6-methylphenol	138
1116	1,1-Cyclohexanedimethanol	144
1129	2(5H)-Furanone, 5-(2-methyl-2-propenyl)-	138
1135	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	150
1140	1-Cyclohexen-1-ol, 2,6-dimethyl-, acetate	168
1147	2-Nonanone	142
1154	Benzene, (ethenyloxy)-	120
1168	2,6-Octadiene-1,8-diol, 2,6-dimethyl-	170
1173	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	139
1189	Bicyclo[2.2.1]heptan-2-ol, 2-allyl-1,7,7-trimethyl-	194
1193	Cyclopropanemethanol, à-methyl-à-propyl-	128
1199	2-Butanone, 4-phenyl-	148
1213	Hexanoic acid, tridec-2-ynyl ester	294
1215	Ethosuximide	141
1224	Carvenone	152
1227	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	137
1242	Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-	166
1279	1,4-dihydroxy-p-menth-2-ene	170
1280	Pentane, 1-(ethenyloxy)-	114
1286	Phenol, 2-methyl-5-(1-methylethyl)-	150
1294	5H-1-Pyrindine	117
1308	2,5-Diethylphenol	150
1309	Levodopa	197
1311	Isobutyl-2-heptenone	168
1331	4-Hydroxyhistamine	127
1339	2-Methoxy-4-vinylphenol	150
1356	Cyclohexanecarboxylic acid, 3-fluorophenyl ester	222
1392	1,3-Dioxolane, 4,5-diethenyl-2,2-dimethyl-	154
1397	6-Hydroxy-9-oxa-bicyclo[3.3.1]nonan-3-one	156
1412	Cyclohexane, 1,1,3,5-tetramethyl-, trans-	140
1417	Lilac aldehyde D	168
1451	1-Butanone, 2-chloro-3-methyl-1-[4-(1-methylethyl)phenyl]-	238
1455	Cyclohexanemethanol, à,à,4-trimethyl-	156
1465	3-Isopropoxy-4-nitrotoluene	195
1471	3-Decen-5-one	154
1476	2-Octanol, 2-methyl-6-methylene-	156
1503	3-Acetamidofuran	125
1511	Indoline, hexahydro-5-methoxy-, cis-	155
1512	Thiophene-2-carboxylic acid, 2,5-dichlorophenyl ester	272
1518	Methyleugenol	178
1525	trans-1,10-Dimethyl-trans-9-decalinol	182
1545	8-Nonyn-1-ol tetrahydropyran-2-yl ether	224
