#peak_num	name	confidence	molecular ion
256	2-Butene, 1-bromo-3-methyl-	0	148
263	Maleic anhydride	2	98
299	4-Benzyloxy-3-(1-methoxyethoxy)-butan-2-ol	0	254
332	Maleic anhydride	2	98
581	Pentane, 2-chloro-4-methyl-	0	120
619	Furan	0	68
627	3-Octanone	0	128
638	Cyclopentene, 3-propyl-	2	110
652	1-Penten-3-one, 2,4-dimethyl-	0	112
656	2-Pyrazoline, 1-methyl-4-propyl-	0	126
662	Methanamine, N-heptylidene-	0	127
696	2-Bromononane	0	206
737	1-Butene, 2,3,3-trimethyl-	0	98
753	Cyclohexanone, 2,2,6-trimethyl-	2	140
757	2-Acetyl-5-methylfuran	2	124
759	2H-Pyran-2-one, 5,6-dihydro-	0	98
767	3-Cyclohexen-1-one, 3,5,5-trimethyl-	2	138
774	4-Oxopentanethioic acid	0	132
775	Benzeneacetaldehyde	2	120
798	1-Ethyl-2-methylcyclohexanol	0	142
804	Phenol, 3-methyl-	2	108
811	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	0	138
835	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	2	170
844	2-Azabicyclo[2.2.1]heptane	0	115
847	3-Heptanone, 5-ethyl-4-methyl-	0	156
854	1,2,4-Triazin-3-amine, 5,6-dimethyl-	0	124
867	cis-Linaloloxide	2	170
875	Phenol, 2-methoxy-	2	124
907	3-Methyl-3-cyclohexen-1-one	0	110
911	dl-2,6-Diamino-4-hexynoic acid	0	142
915	9-Oxabicyclo[3.3.1]nonan-2-one, 6-hydroxy-	0	156
924	Bicyclo[8.2.0]dodecane, 11,11-dimethyl-	2	194
925	2,3-Dimethyl-4-hydroxy-2-butenoic lactone	2	112
947	Cyclopentanone, 2,2,4-trimethyl-	2	126
959	2-Pyrazoline, 3-ethyl-1-isopropyl-	2	140
973	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	2	138
984	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	2	152
986	Benzene, 1,2-dimethoxy-	2	138
993	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	0	154
995	Phenol, 2,5-dimethyl-	2	122
1004	2-Pentanol, 3-chloro-2-methyl-	0	136
1035	2-Methyl-2-decanol	0	172
1036	1,4-Cyclohexanedione, 2,2,6-trimethyl-	2	154
1052	Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-	2	150
1066	ñ-á,á-Dimethyl-ç-(hydroxy-methyl)-ç-butyrolactone	2	144
1073	Lilac aldehyde A	0	168
1078	3,5-Hexadien-2-ol, 2-methyl-	0	112
1092	2-Cyclohexen-1-one, 4-(1-methylethyl)-	0	138
1103	2-Methoxy-6-methylphenol	2	138
1116	1,1-Cyclohexanedimethanol	0	144
1129	2(5H)-Furanone, 5-(2-methyl-2-propenyl)-	0	138
1135	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	2	150
1140	1-Cyclohexen-1-ol, 2,6-dimethyl-, acetate	0	168
1147	2-Nonanone	0	142
1154	Benzene, (ethenyloxy)-	2	120
1168	2,6-Octadiene-1,8-diol, 2,6-dimethyl-	0	170
