#peak_num	name	molecular ion
285	1,2,3,4-Tridecanetetrol, [2R-(2R*,3S*,4S*)]-	248
329	2(3H)-Furanone, 5-methyl-	98
594	Benzonitrile	103
634	Cyclohexane, isocyanato-	125
734	Propanoic acid, 2-acetylhydrazono-	144
1182	Benzaldehyde, 4-ethyl-	134
1201	Ethanone, 1-(4-methylphenyl)-	134
1236	Benzylidenemalonaldehyde	160
1306	Benzothiazole	135
1466	Ethanone, 1-(3,4-dimethylphenyl)-	148
1617	Phthalic anhydride	148
2208	Dibenzofuran	168
233	Butane, 2,3-dimethyl-2-nitro-	131
240	Maleic anhydride	98
255	trans-2-Methyl-4-hexen-3-ol	114
296	6-Methyl-3,5-heptadiene-2-one	124
303	Maleic anhydride	98
308	3-Pentenal, 4-methyl-	98
356	4-Cyclopentene-1,3-dione	96
407	Ethanone, 1-(2-furanyl)-	110
433	2-Acetyl-1-pyrroline	111
439	2-Cyclopenten-1-one, 2-hydroxy-	98
503	3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-	198
526	Carbamoyl chloride, phenyl-	155
552	2-Cyclopenten-1-one, 3-methyl-	96
562	2-Acetyl-5-methylfuran	124
569	2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one	144
574	7-Oxabicyclo[2.2.1]hept-5-en-2-one	110
577	2(5H)-Furanone, 3-methyl-	98
579	p-Nitrophenyl hexanoate	237
588	3-Heptanone, 5-methyl-	128
599	3-Methyl-3-cyclohexen-1-one	110
600	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	128
630	Cyclopentanone, 2,4,4-trimethyl-	126
699	2-Bromononane	206
704	7-Oxabicyclo[2.2.1]hept-5-en-2-one	110
716	Benzoxazole	119
725	3-Acetylthymine	168
747	2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-	142
762	Cyclohexanone, 2,2,6-trimethyl-	140
769	2-Acetyl-5-methylfuran	124
773	2(5H)-Furanone, 5-ethyl-	112
779	3-Cyclohexen-1-one, 3,5,5-trimethyl-	138
781	2-Cyclopenten-1-one, 2,3-dimethyl-	110
782	2,5-Furandione, 3,4-dimethyl-	126
791	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	144
795	4-Methyl-5H-furan-2-one	98
797	2-Heptanone, 6-methyl-	128
816	2,5-Dimethyl-4-hydroxy-3(2H)-furanone	128
817	2-Cyclohexen-1-one, 3-methyl-	110
824	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	138
829	4-Methyl-1-pentyl methylphosphonofluoridate	182
846	(E)1-Allyl-2-methylcyclohexanol	154
858	1-Cyclopentene-1-carboxylic acid	112
861	2-Ethyl-4,6-dimethyltetrahydropyran	142
866	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	170
868	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	144
880	Phenol, 3-methyl-	108
889	Cyclopentanone, 2-(1-methylpropyl)-	140
898	1,2,4-Triazin-3-amine, 5,6-dimethyl-	124
913	cis-Linaloloxide	170
921	L-Fenchone	152
933	Phenol, 2-methoxy-	124
983	1,2-Cyclopentanedicarboxylic acid	158
984	2-Buten-1-one, 1-(6,7,7-trimethyl-2,3-dioxabicyclo[2.2.2]oct-5-en-1-yl)-, [1R-[1à(E),4á]]-	222
988	1-Methylcycloheptanol	128
999	Bicyclo[8.2.0]dodecane, 11,11-dimethyl-	194
1026	Isophorone	138
1041	2(3H)-Furanone, 5-acetyldihydro-	128
1047	2-Pyrazoline, 3-ethyl-1-isopropyl-	140
1061	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	138
1073	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	152
1082	Benzene, 1,2-dimethoxy-	138
1089	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	154
1092	4-Methyl-2-pyrazolin-5-one	98
