#peak_num	name	confidence	molecular ion
285	1,2,3,4-Tridecanetetrol, [2R-(2R*,3S*,4S*)]-	0	248
329	2(3H)-Furanone, 5-methyl-	2	98
594	Benzonitrile	2	103
634	Cyclohexane, isocyanato-	2	125
734	Propanoic acid, 2-acetylhydrazono-	0	144
1182	Benzaldehyde, 4-ethyl-	2	134
1201	Ethanone, 1-(4-methylphenyl)-	2	134
1236	Benzylidenemalonaldehyde	0	160
1306	Benzothiazole	2	135
1466	Ethanone, 1-(3,4-dimethylphenyl)-	2	148
1617	Phthalic anhydride	2	148
2208	Dibenzofuran	2	168
233	Butane, 2,3-dimethyl-2-nitro-	0	131
240	Maleic anhydride	2	98
255	trans-2-Methyl-4-hexen-3-ol	0	114
296	6-Methyl-3,5-heptadiene-2-one	2	124
303	Maleic anhydride	2	98
308	3-Pentenal, 4-methyl-	2	98
356	4-Cyclopentene-1,3-dione	2	96
407	Ethanone, 1-(2-furanyl)-	2	110
433	2-Acetyl-1-pyrroline	2	111
439	2-Cyclopenten-1-one, 2-hydroxy-	2	98
503	3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-	0	198
526	Carbamoyl chloride, phenyl-	0	155
552	2-Cyclopenten-1-one, 3-methyl-	2	96
562	2-Acetyl-5-methylfuran	2	124
569	2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one	2	144
574	7-Oxabicyclo[2.2.1]hept-5-en-2-one	0	110
577	2(5H)-Furanone, 3-methyl-	2	98
579	p-Nitrophenyl hexanoate	0	237
588	3-Heptanone, 5-methyl-	0	128
599	3-Methyl-3-cyclohexen-1-one	2	110
600	2-Pentenoic acid, 4-oxo-, methyl ester, (Z)-	0	128
630	Cyclopentanone, 2,4,4-trimethyl-	0	126
699	2-Bromononane	0	206
704	7-Oxabicyclo[2.2.1]hept-5-en-2-one	0	110
716	Benzoxazole	2	119
725	3-Acetylthymine	0	168
747	2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-	0	142
762	Cyclohexanone, 2,2,6-trimethyl-	2	140
769	2-Acetyl-5-methylfuran	2	124
773	2(5H)-Furanone, 5-ethyl-	2	112
779	3-Cyclohexen-1-one, 3,5,5-trimethyl-	2	138
781	2-Cyclopenten-1-one, 2,3-dimethyl-	2	110
782	2,5-Furandione, 3,4-dimethyl-	2	126
791	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	2	144
795	4-Methyl-5H-furan-2-one	2	98
797	2-Heptanone, 6-methyl-	2	128
816	2,5-Dimethyl-4-hydroxy-3(2H)-furanone	2	128
817	2-Cyclohexen-1-one, 3-methyl-	2	110
824	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	2	138
829	4-Methyl-1-pentyl methylphosphonofluoridate	0	182
846	(E)1-Allyl-2-methylcyclohexanol	0	154
858	1-Cyclopentene-1-carboxylic acid	0	112
861	2-Ethyl-4,6-dimethyltetrahydropyran	0	142
866	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	0	170
868	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	0	144
880	Phenol, 3-methyl-	2	108
889	Cyclopentanone, 2-(1-methylpropyl)-	0	140
898	1,2,4-Triazin-3-amine, 5,6-dimethyl-	0	124
913	cis-Linaloloxide	0	170
921	L-Fenchone	2	152
933	Phenol, 2-methoxy-	2	124
983	1,2-Cyclopentanedicarboxylic acid	0	158
984	2-Buten-1-one, 1-(6,7,7-trimethyl-2,3-dioxabicyclo[2.2.2]oct-5-en-1-yl)-, [1R-[1à(E),4á]]-	0	222
988	1-Methylcycloheptanol	0	128
999	Bicyclo[8.2.0]dodecane, 11,11-dimethyl-	2	194
1026	Isophorone	2	138
1041	2(3H)-Furanone, 5-acetyldihydro-	2	128
1047	2-Pyrazoline, 3-ethyl-1-isopropyl-	2	140
1061	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	2	138
1073	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	2	152
1082	Benzene, 1,2-dimethoxy-	2	138
1089	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	0	154
1092	4-Methyl-2-pyrazolin-5-one	0	98
1109	4-Heptanone, 2,3:5,6-diepoxy-2,6-dimethyl-	0	170
1115	Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-	2	138
1128	Pinocarvone	2	150
1131	Ethanone, 1-(2-hydroxyphenyl)-	2	136
1138	Dehydromevalonic lactone	2	112
1149	2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-	0	142
1151	1,4-Cyclohexanedione, 2,2,6-trimethyl-	2	154
1167	Ethanone, 1-(4-methylphenyl)-	2	134
1172	Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-	2	152
1191	Lilac aldehyde D	2	168
1203	1,1-Cyclohexanedimethanol	0	144
1222	2-Methoxy-5-methylphenol	2	138
1238	1,1-Cyclohexanedimethanol	0	144
1256	3-Cyclopenten-1-one, 2,2,5,5-tetramethyl-	0	138
1263	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	2	150
1268	1-Cyclohexen-1-ol, 2,6-dimethyl-, acetate	2	168
1278	cis-4-Hydroxy-3-methylundecanoic acid lactone	0	198
1281	5-Hepten-2-amine, N,6-dimethyl-	0	141
1284	1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-	2	152
1289	Benzofuran, 2,3-dihydro-	2	120
1290	Mequinol	2	124
1300	1,4-Benzenediol, 2-methyl-	0	124
1305	Phenol, 4-methoxy-3-methyl-	2	138
1323	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	2	139
1337	Bicyclo[2.2.1]heptan-2-ol, 2-allyl-1,7,7-trimethyl-	0	194
1352	2-Butanone, 4-phenyl-	2	148
1371	Hexanoic acid, tridec-2-ynyl ester	0	294
1377	Ethosuximide	0	141
1381	trans-1,4,6-Trimethyl-3,7,9-trioxabicyclo(4,2,0)nonane	0	172
1395	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	0	137
1408	Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-	2	166
1429	Cyclohexene, 6-(2-butenyl)-1,5,5-trimethyl-, (E)-	0	178
1434	1,4-dihydroxy-p-menth-2-ene	2	170
1477	Thymol	2	150
1504	Phenol, 2-ethyl-4,5-dimethyl-	2	150
1519	Ethanone, 1-(6,6-dimethylbicyclo[3.1.0]hex-2-en-2-yl)-	0	150
1526	5H-1-Pyrindine	2	117
1547	2-Cyclopenten-1-one, 3,4-dimethyl-	2	110
1557	Acetophenone, 4'-amino-	2	135
1602	2-Methoxy-4-vinylphenol	2	150
1605	Cyclohexanone, 2-isopropyl-2,5-dimethyl-	0	168
1609	3-Ethyl-2-methyl-2-heptanol	0	158
1616	1,2-Indandione, 3,3-dimethyl-	0	174
1624	Cyclohexanebutanal, 2-methyl-3-oxo-, cis-	0	182
1628	3-Methoxy-5-methylphenol	2	138
1640	Cyclohexene, 2-butyl-1,3,3-trimethyl-	2	180
1658	Oxirane, (2-methylbutyl)-	0	114
1673	2-Hexanone, 6-methoxy-	0	130
1684	3-Nonanone, 2-methyl-	2	156
1689	Terpinen-4-ol	0	154
1694	Benzeneacetaldehyde, à-2-propenyl-	0	160
1698	4-Ethylbenzoic acid, 1-(cyclopentyl)ethyl ester	0	246
1734	1(3H)-Isobenzofuranone	2	134
1767	Erythro-2-methyl-3,4-dibromo-2-butanol	0	244
