#peak_num	name	molecular ion
576	Proximpham	192
625	2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one	144
691	1,2-Cyclohexanedione	112
778	1H-Imidazole, 1-acetyl-	110
1290	ñ-á,á-Dimethyl-ç-(hydroxy-methyl)-ç-butyrolactone	144
1305	Vinyl trans-cinnamate	174
1384	(+)-Borneol	154
1471	2-Coumaranone	134
1482	Bicyclo[2.2.1]heptan-2-ol, 2-allyl-1,7,7-trimethyl-	194
1484	Isophthalaldehyde	134
1565	Phenol, 3-propyl-	136
1619	5,7-Octadien-2-one, 3-acetyl-	138
1660	4-Methylcoumarine-7-cinnamate	306
1704	Pregnane, 20-[5-methyl-2-oxanyl]-	386
1722	Ethyl-2-benzofuran	146
1753	Cyclohexanone, 2-isopropyl-2,5-dimethyl-	168
1756	Decanoic acid, methyl ester	186
1770	1-Butoxy-2-methyl-2-butene (Z)-	142
1806	(+-)-3-hydroxybutyric acid, acetate	146
1830	Benzene, (2-methyl-1-methylenebutyl)-	160
1904	4,4'-Dimethylbicyclohexyl-3,3'-diene-2,2'-dione	218
1910	3-Benzofuranmethanol, 2,3-dihydro-3-methyl-	164
1974	2-Methyl-5-phenyltetrazole	160
2107	1,6-Octadiene, 3,7-dimethyl-	138
2150	2-Propenoic acid, 3-(2-hydroxyphenyl)-, (E)-	164
2183	Ethanone, 1,1'-(1,4-phenylene)bis-	162
2288	Cyclopentanecarboxylic acid, 2-hydroxy-1-(2-propenyl)-, methyl ester, cis-	184
2414	7-Hydroxy-2,4,6-trimethyl-8-oxazol-5-yloct-2-enoic acid, methyl ester	281
3139	Phenol, 2,5-bis(1-methylethyl)-	178
3182	Cyclopentane, 1-methyl-2-(2-propenyl)-, trans-	124
3376	Hexadecenoic acid, Z-11-	254
3811	2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-	154
3872	1-(3,4-Dimethoxy-phenyl)-2-thiocyanato-ethanone	237
3998	2(1H)-Naphthalenone, 7-ethynyl-4a,5,6,7,8,8a-hexahydro-1,4a-dimethyl-, (1à,4aá,7á,8aà)-	202
4243	1-Oxaspiro[4.4]non-8-ene-4,7-dione, 9-hydroxy-6-(3-methyl-2-butenyl)-2-(1-methylethyl)-8-(3-methyl-1-oxobutyl)-	362
396	4-Cyclopentene-1,3-dione	96
1764	3-Buten-2-one, 4-(2-hydroxy-2,6,6-trimethylcyclohexyl)-	210
1913	Ethanone, 1-(2,5-dimethylphenyl)-	148
4925	Octocrylene	361
