#peak_num	name	confidence	molecular ion
241	Pyridine, 2-methyl-	2	93
392	2-Cyclopenten-1-one, 2-methyl-	2	96
417	Pyrazine, ethyl-	2	108
430	Pyrazine, 2,3-dimethyl-	2	108
471	2-Cyclopenten-1-one, 3,4-dimethyl-	2	110
482	2(5H)-Furanone, 5-methyl-	2	98
493	Imidazole, 5-hydrazinocarbonyl-	0	126
509	Cyclohexanone, 3-methyl-, (R)-	2	112
558	Dimethyl trisulfide	0	126
604	Cyclobutanemethanol	0	86
625	4,4-Dimethyl-2-cyclopenten-1-one	2	110
646	2-Methyliminoperhydro-1,3-oxazine	2	114
654	4-Hexen-2-one, 3-methyl-	2	112
681	2(5H)-Furanone, 3,5,5-trimethyl-	2	126
697	1,7-Nonadien-4-ol, 4,8-dimethyl-	0	168
706	Ethane, diazo-	0	56
732	2-Cyclopenten-1-one, 3,4-dimethyl-	2	110
771	Butanoic acid, 4-hydroxy-2-methylene-	0	116
772	2H-Pyran-2-one, 5,6-dihydro-	0	98
813	2-Octenal, (E)-	0	126
835	2-Cyclopenten-1-one, 2,3,4-trimethyl-	2	124
922	2-ethoxy-3,5-hexadiene	2	126
923	4-Pyridinol-1-oxide	2	111
932	3,5-Heptadien-2-one, 6-methyl-, (E)-	2	124
952	4-Hepten-3-one, 4-methyl-	2	126
960	2(5H)-Furanone, 3,5,5-trimethyl-	0	126
970	2-Cyclohexen-1-one, 3,5-dimethyl-	2	124
993	4-Acetyl-1-methylcyclohexene	0	138
1000	2,3-Dimethyl-4-hydroxy-2-butenoic lactone	2	112
1017	2,4,4,6,6,8,8-Heptamethyl-1-nonene	0	224
1022	4,6-Dimethyl-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazine	0	141
1077	2-Hepten-4-one, 2-methyl-	2	126
1091	Phenol, 2,4-dimethyl-	2	122
1114	Allyl nonanoate	0	198
1119	5-Hepten-2-one, 5,6-dimethyl-	0	140
1120	Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-	2	152
1152	4-Hepten-3-one, 4-methyl-	2	126
1226	3,4-Methylpropylsuccinimide	0	155
1247	1,1'-Bicyclopropyl, 2,2,2',2'-tetramethyl-	0	138
1301	Cyclohexanone, 4-(1,1-dimethylpropyl)-	0	168
1312	Phenol, 2-(1-methylethyl)-	2	136
1346	Quinoline	2	129
1389	Formamide, N-cyclohexyl-	2	127
1470	1H-Inden-1-one, 2,3-dihydro-	2	132
1512	Acetamide, N-cyclohexyl-	2	141
1584	1,2,4-Trimethoxybenzene	2	168
1638	2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-	0	170
1662	(+-)-3-hydroxybutyric acid, acetate	2	146
1717	Myrtenoic acid, ethyl ester	0	194
1733	Phenol, 2,6-dimethoxy-	2	154
1750	Methyl 3-(2-hydroxyphenyl)propionate	2	180
1759	3-(1-Hydroxy-ethyl)-3H-benzofuran-2-one	0	178
1808	Oxazolidine, 2,2-diethyl-3-methyl-	0	143
1876	Silane, 1-butynyltrimethyl-	0	126
1892	1-Butanone, 2-chloro-3-methyl-1-[4-(1-methylethyl)phenyl]-	0	238
1897	Ethanone, 1-(3-hydroxyphenyl)-	2	136
1924	7-Methylindan-1-one	2	146
1940	4-Methylphthalaldehyde	2	148
1942	Cyclopentanone, 2-(2-octenyl)-	2	194
1960	1H-Isoindole-1,3(2H)-dione, 2-methyl-	2	161
1962	p-Menthane-1,2,3-triol	0	188
1977	Cyclopropane, 1-(1'-propenyl)-2-hydroxymethyl-	0	112
1980	4'-Methylbutyrophenone	0	162
1986	1-Phthalanol, 1,3,3-trimethyl-	0	178
2011	2-Propenoic acid, 3-(2-hydroxyphenyl)-, (E)-	2	164
2030	Phenol, 2-methoxy-4-(1-propenyl)-	0	164
2069	Phthalimide	2	147
2077	1,13-Tetradecadien-3-one	0	208
2083	2-Phenylacetamide, N-(1-phenyl-2-propyl)-	0	253
2087	4-Methylphthalaldehyde	2	148
2098	2-(2-Chloro-phenyl)-3-(4-methyl-benzoyl)-thiazolidine-4-carboxylic acid	0	361
2107	1(3H)-Isobenzofuranone, 5-methyl-	2	148
2109	Sulfurous acid, dipentyl ester	0	222
2123	Spiro[isobenzofuran-1(3H)-one-3,2'-tetrahydrofuran-5'-one]	0	204
2135	5,6-Dimethyl-1H-benzotriazole	2	147
2140	1,7,7-Trimethyl-2-vinylbicyclo[2.2.1]hept-2-ene	0	162
2178	4-Methylphthalic anhydride	2	162
2219	trans-calamenene	2	202
2322	4-Ethylphenyl isocyanate	0	147
2323	7-Methoxymethyl-2,7-dimethylcyclohepta-1,3,5-triene	0	164
2438	Benzothiazole, 2-(methylthio)-	2	181
2609	1(2H)-Acenaphthylenone	2	168
2842	Benzo[h]cinnoline	2	180
3024	Pentadecanoic acid	2	242
3113	3,7,11,15-Tetramethyl-2-hexadecen-1-ol	2	296
3219	Cyclohexanecarboxylic acid, 4-(1,5-dimethyl-3-oxohexyl)-, methyl ester, cis-	0	268
3363	Cyclic octaatomic sulfur	2	256
3372	1,3-Dicyclohexylurea	2	224
3389	Benzene, 1,1'-(1,3-butadiyne-1,4-diyl)bis-	2	202
3428	4-(3-Hydroxy-2,6,6-trimethylcyclohex-1-enyl)pent-3-en-2-one	0	222
3494	6,7-Dimethoxy-1,4-dihydro-2,3-quinoxalinedione	0	222
3534	trans-Z-à-Bisabolene epoxide	0	220
3585	2-Benzothiazolamine, N-cyclohexyl-	2	232
3590	Phenol, 2,4'-isopropylidenedi-	0	228
3653	1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-	0	202
3845	1,4-Naphthoquinone, 2-acetyl-5,8-dihydroxy-3-methoxy-	0	262
4417	Oxirane, heptadecyl-	0	282
