#peak_num	name	molecular ion
331	2(3H)-Furanone, 5-methyl-	98
779	1,2-Dimethyl cyclopropene	68
886	Benzoic acid	122
1197	2-Butanone, 3-chloro-	106
223	Crotonic acid	86
257	Dichloroacetic acid, 2-tetrahydrofurylmethyl ester	212
309	Maleic anhydride	98
315	2,3-Dihydrooxazole, 2-t-butyl-4-(1-hydroxy-1-methylethyl)-3-methoxycarbonyl-5-methyl-	98
425	Propanedioic acid, dimethyl ester	132
458	Trifluoroamine oxide	87
468	3(2H)-Furanone, 2-(1-hydroxy-1-methyl-2-oxopropyl)-2,5-dimethyl-	198
512	7-Oxabicyclo[2.2.1]hept-5-en-2-one	110
520	3-Octanone	128
530	3-Methyl-3-cyclohexen-1-one	110
547	2H-Pyran-2,3-diol, tetrahydro-, diacetate, trans-	202
553	2-Hepten-4-one, 2-methyl-	126
586	Cyclohexene, 1-methyl-4-(1-methylethylidene)-	136
602	4(1H)-Pyrimidinone, 5-hydroxy-2-methyl-	126
622	2(3H)-Furanone, dihydro-4,4,5,5-tetramethyl-	142
640	Ethanone, 1-(2-methyl-1-cyclopenten-1-yl)-	124
647	2-Cyclopenten-1-one, 2,3-dimethyl-	110
649	2,5-Furandione, 3,4-dimethyl-	126
653	2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-	144
654	2,4,6-Cycloheptatrien-1-one, 4-methyl-	120
659	4-Methyl-5H-furan-2-one	98
663	2-Heptanone, 6-methyl-	128
669	4-Propionyloxytridecane	256
677	4-Carene, (1S,3R,6R)-(-)-	136
678	2-Cyclohexen-1-one, 3-methyl-	110
680	2,5-Dimethyl-4-hydroxy-3(2H)-furanone	128
682	1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-	138
706	3,7-Dimethyloctyl ethylphosphonofluoridoate	252
709	2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-	170
711	Pentanoic acid, 2-methyl-, anhydride	214
728	1,2,4-Triazin-3-amine, 5,6-dimethyl-	124
741	Bicyclo[2.2.1]heptan-2-one, 1,3,3-trimethyl-	152
753	Cyclopropanemethanol, à-butyl-	128
776	2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-	168
778	3,3,7-Trimethyl-4-oxa-7-octen-1-ol	172
783	Cyclohexanol, 2,6-dimethyl-	128
827	Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-	138
838	2,6,6-Trimethyl-2-cyclohexene-1,4-dione	152
852	2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-	154
854	Pyrollidine, 2,5-bis(imino)-	97
879	2-Furanethanol, à-methyl-, acetate	168
888	3-Undecene, (E)-	154
900	Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-	150
912	Benzylidenemalonaldehyde	160
931	Bicyclo[2.2.2]oct-5-en-2-one, 7-syn-hydroxy-	138
969	Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-	150
995	[1,1'-Bicyclopentyl]-2-one	152
996	Benzeneacetaldehyde, à-ethyl-	148
998	1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-	139
1039	1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-	137
1056	D-Tyrosine, 3-hydroxy-	197
1095	Indole	117
1100	Phenol, m-tert-butyl-	150
1158	(+-)-3-hydroxybutyric acid, acetate	146
1168	Ethanone, 1-(3,4-dimethylphenyl)-	148
1201	n-Decanoic acid	172
1203	1(3H)-Isobenzofuranone, 3,3-dimethyl-	162
1216	Cyclohexanemethanol, à,à,4-trimethyl-, trans-	156
1245	Cyclohexane, 1,1,3,5-tetramethyl-, cis-	140
1260	Vanillin	152
1263	trans-1,10-Dimethyl-trans-9-decalol	182
1269	Propanoic acid, 2-methyl-, 3-hydroxy-2,4,4-trimethylpentyl ester	216
1288	Ethanone, 1,1'-(1,3-phenylene)bis-	162
1371	1,7-Dioxaspiro[5.5]undec-2-ene	154
1374	2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-	180
1398	Furan, 4-methyl-2-propyl-	124
1417	Fumaric acid, ethyl 3,4,5-trichlorophenyl ester	322
1432	2-Methoxyformanilide	151
1439	1,3-Benzenediol, 4-ethyl-	138
1440	Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-	222
1442	6-(3,3-Dimethyl-oxiran-2-ylidene)-5,5-dimethyl-hex-3-en-2-one	194
1447	10-Methyldodecan-5-olide	212
1452	Phosphoric acid, dipropyl nonyl ester	308
1464	Trifluoromethyldifluorophosphine	138
1485	Triethyl citrate	276
1598	n-Hexadecanoic acid	256
1603	2-Azafluorenone	181
1608	n-Decanoic acid	172
1644	Hexadecenoic acid, Z-11-	254
1871	4,8,12,16-Tetramethylheptadecan-4-olide	324
2400	BOSCALID	342
